race_category,race_class_new,race_class_old
,,
(B),(B),
(C),(C),
(D),(D),
(E),(E),
(F),(F),
Amateurrennen,,
Amateurrennen - Fegentri-Rennen,,
Amateurrennen (E),(E),
Amateurrennen (F),(F),
Amateurrennen für Reiterinnen,,
Amateurrennen für Reiterinnen (E),(E),
Amazonenreiten,,
Amazonenreiten - Verkaufsrennen,,
Amazonenreiten (E),(E),
Amazonenreiten (F),(F),
Araber-Rennen,,
Araber-Rennen - Amazonenreiten,,
Araber-Rennen - Gruppe II,,
Araber-Rennen - Listenrennen,,
Ausgleich (C),(C),
Ausgleich für Dreijährige,,
Ausgleich für Dreijährige (D),(D),
Ausgleich I,,Ausgleich I
Ausgleich I (A),Ausgleich I (A),Ausgleich I
Ausgleich I (B),Ausgleich I (B),Ausgleich I
Ausgleich I (C),Ausgleich I (C),Ausgleich I
Ausgleich II,,Ausgleich II
Ausgleich II (B),Ausgleich II (B),Ausgleich II
Ausgleich II (C),Ausgleich II (C),Ausgleich II
Ausgleich II (D),Ausgleich II (D),Ausgleich II
Ausgleich III,,Ausgleich III
Ausgleich III - Amateurrennen,,Ausgleich III
Ausgleich III - Amateurrennen (D),Ausgleich III (D),Ausgleich III
Ausgleich III - Amateurrennen für Reiterinnen - Fegentri-Rennen,,Ausgleich III
Ausgleich III - Amateurrennen für Reiterinnen - Fegentri-Rennen (D),Ausgleich III (D),Ausgleich III
Ausgleich III - Amazonenreiten,,Ausgleich III
Ausgleich III - Amazonenreiten (D),Ausgleich III (D),Ausgleich III
Ausgleich III - Amazonenreiten (E),Ausgleich III (E),Ausgleich III
Ausgleich III - Fegentri-Rennen - Amateurrennen (E),Ausgleich III (E),Ausgleich III
Ausgleich III - Fegentri-Rennen - Amateurrennen für Reiterinnen,,Ausgleich III
Ausgleich III - Fegentri-Rennen - Amateurrennen für Reiterinnen (D),Ausgleich III (D),Ausgleich III
Ausgleich III - Fegentri-Rennen - Amateurrennen für Reiterinnen (E),Ausgleich III (E),Ausgleich III
Ausgleich III - Nachwuchsreiten,,Ausgleich III
Ausgleich III - Stutenrennen,,Ausgleich III
Ausgleich III - Stutenrennen (D),Ausgleich III (D),Ausgleich III
Ausgleich III - Trainerreiten,,Ausgleich III
Ausgleich III (D),Ausgleich III (D),Ausgleich III
Ausgleich III (E),Ausgleich III (E),Ausgleich III
Ausgleich IV,,Ausgleich IV
Ausgleich IV - Amateurrennen,,Ausgleich IV
